node,obs_st,time
20,1,28
57,0,28
120,0,28
139,0,28
142,0,28
153,1,28
275,1,28
307,1,28
328,1,28
372,0,28
418,1,28
433,1,28
447,0,28
525,1,28
530,0,28
542,0,28
553,1,28
560,1,28
573,0,28
579,0,28
