node,obs_st,time
38,0,28
75,1,28
89,0,28
122,1,28
160,1,28
202,0,28
236,0,28
247,1,28
259,0,28
394,0,28
457,1,28
460,0,28
469,0,28
477,1,28
489,0,28
496,1,28
498,1,28
540,0,28
562,1,28
591,0,28
