node,obs_st,time
2,0,21
4,0,21
16,0,21
25,0,21
137,1,21
224,1,21
235,0,21
238,0,21
245,0,21
250,1,21
267,0,21
286,1,21
309,1,21
352,1,21
379,0,21
384,1,21
388,0,21
400,0,21
412,1,21
458,1,21
466,1,21
513,1,21
554,0,21
564,1,21
625,0,21
644,0,21
758,0,21
806,0,21
808,0,21
822,1,21
831,1,21
873,0,21
884,0,21
933,0,21
959,1,21
980,0,21
1000,0,21
1053,0,21
1087,0,21
1094,0,21
1169,1,21
1178,0,21
1184,1,21
1195,0,21
1211,1,21
1301,1,21
1328,1,21
1371,0,21
1420,0,21
1442,1,21
1512,1,21
1534,0,21
1538,0,21
1553,0,21
1804,0,21
1827,1,21
1849,0,21
1879,1,21
1890,1,21
1938,0,21
