node,obs_st,time
26,1,21
33,0,21
39,1,21
84,0,21
118,0,21
131,1,21
153,0,21
165,1,21
184,1,21
277,1,21
279,1,21
284,0,21
355,0,21
364,0,21
394,1,21
422,1,21
442,0,21
443,1,21
480,1,21
487,0,21
518,0,21
528,1,21
553,1,21
568,0,21
624,0,21
659,1,21
691,1,21
734,1,21
811,1,21
812,1,21
824,1,21
890,1,21
954,0,21
961,0,21
1030,1,21
1038,1,21
1077,0,21
1207,1,21
1235,0,21
1274,1,21
1322,0,21
1328,0,21
1361,0,21
1440,1,21
1500,0,21
1512,0,21
1540,0,21
1557,1,21
1585,1,21
1611,0,21
1618,1,21
1639,1,21
1654,0,21
1665,1,21
1793,0,21
1848,0,21
1937,1,21
1959,0,21
1981,1,21
1989,0,21
