node,obs_st,time
6,0,21
17,1,21
58,1,21
78,0,21
116,1,21
134,0,21
162,1,21
215,0,21
366,0,21
402,0,21
407,1,21
429,0,21
455,1,21
456,1,21
487,0,21
512,1,21
513,1,21
572,1,21
656,1,21
694,1,21
752,1,21
781,0,21
828,1,21
840,0,21
917,0,21
977,1,21
985,0,21
1090,1,21
1113,0,21
1155,1,21
1205,1,21
1221,1,21
1246,1,21
1251,0,21
1278,1,21
1285,0,21
1365,1,21
1378,1,21
1415,1,21
1460,1,21
1473,0,21
1474,1,21
1542,1,21
1545,0,21
1552,0,21
1585,1,21
1670,0,21
1675,0,21
1679,0,21
1713,1,21
1720,1,21
1737,1,21
1739,1,21
1748,1,21
1790,0,21
1828,1,21
1872,0,21
1908,0,21
1914,1,21
1947,0,21
