node,obs_st,time
45,1,21
55,1,21
87,1,21
135,0,21
177,0,21
210,1,21
276,0,21
281,0,21
283,0,21
296,1,21
303,1,21
315,1,21
339,0,21
416,1,21
418,1,21
419,0,21
471,0,21
580,0,21
602,0,21
671,1,21
682,0,21
683,1,21
705,0,21
796,0,21
824,0,21
887,0,21
892,1,21
947,1,21
988,0,21
1160,0,21
1161,1,21
1168,1,21
1207,1,21
1210,1,21
1270,0,21
1273,1,21
1294,1,21
1321,1,21
1391,1,21
1415,1,21
1451,0,21
1482,0,21
1491,1,21
1522,0,21
1554,1,21
1628,0,21
1635,0,21
1638,0,21
1650,0,21
1698,0,21
1742,0,21
1766,0,21
1807,1,21
1828,1,21
1869,1,21
1877,1,21
1891,1,21
1898,0,21
1911,1,21
1960,0,21
