node,obs_st,time
58,1,21
122,1,21
151,1,21
165,0,21
220,0,21
291,0,21
331,0,21
422,1,21
465,1,21
524,1,21
536,1,21
616,0,21
621,0,21
622,0,21
666,0,21
669,1,21
682,1,21
747,1,21
774,1,21
798,1,21
816,0,21
821,0,21
933,1,21
934,1,21
937,1,21
1018,1,21
1055,1,21
1093,0,21
1120,0,21
1143,0,21
1219,1,21
1232,1,21
1256,1,21
1258,1,21
1264,0,21
1304,1,21
1307,0,21
1308,0,21
1318,1,21
1319,1,21
1380,0,21
1405,0,21
1427,1,21
1531,1,21
1630,0,21
1679,0,21
1688,1,21
1701,0,21
1746,1,21
1773,1,21
1782,0,21
1801,0,21
1860,0,21
1881,1,21
1891,1,21
1897,0,21
1904,1,21
1910,1,21
1937,1,21
1979,1,21
