node,obs_st,time
27,1,21
75,1,21
90,0,21
114,1,21
131,0,21
166,0,21
242,1,21
250,0,21
260,0,21
368,1,21
381,1,21
385,0,21
398,0,21
404,0,21
431,1,21
446,1,21
450,0,21
457,1,21
466,1,21
489,1,21
568,0,21
587,0,21
595,0,21
627,0,21
672,0,21
673,1,21
681,1,21
735,0,21
863,1,21
886,1,21
899,1,21
967,1,21
1005,0,21
1008,0,21
1020,0,21
1075,0,21
1076,0,21
1111,1,21
1170,0,21
1173,0,21
1261,1,21
1263,0,21
1287,1,21
1345,1,21
1354,0,21
1383,0,21
1414,1,21
1425,0,21
1484,0,21
1525,0,21
1551,0,21
1660,0,21
1689,1,21
1717,0,21
1810,0,21
1834,0,21
1906,0,21
1908,0,21
1920,1,21
1925,0,21
