node,obs_st,time
9,1,21
21,0,21
45,1,21
78,0,21
94,1,21
97,1,21
99,1,21
111,0,21
127,0,21
152,1,21
201,1,21
207,0,21
234,1,21
297,0,21
333,0,21
347,1,21
354,1,21
415,0,21
439,1,21
473,1,21
513,0,21
687,0,21
782,0,21
803,1,21
841,0,21
883,0,21
884,0,21
892,1,21
907,0,21
909,0,21
920,0,21
942,0,21
989,1,21
1056,1,21
1104,0,21
1106,0,21
1199,1,21
1208,0,21
1231,1,21
1247,1,21
1281,1,21
1288,1,21
1326,1,21
1368,0,21
1427,0,21
1478,0,21
1485,1,21
1531,1,21
1587,0,21
1590,1,21
1620,0,21
1660,1,21
1667,0,21
1708,0,21
1719,0,21
1783,0,21
1786,1,21
1806,1,21
1829,0,21
1883,1,21
