node,obs_st,time
77,1,21
88,1,21
95,0,21
96,0,21
122,0,21
157,1,21
234,0,21
236,0,21
313,0,21
318,1,21
330,0,21
379,0,21
424,0,21
446,0,21
453,0,21
478,0,21
517,0,21
572,1,21
647,0,21
648,0,21
666,0,21
733,0,21
782,0,21
877,1,21
912,0,21
1014,0,21
1050,0,21
1074,0,21
1077,0,21
1081,0,21
1082,0,21
1088,0,21
1169,0,21
1235,1,21
1244,0,21
1303,0,21
1305,0,21
1380,0,21
1408,0,21
1523,0,21
1608,1,21
1609,0,21
1688,0,21
1727,1,21
1734,1,21
1745,0,21
1748,0,21
1753,0,21
1755,0,21
1759,0,21
1772,0,21
1800,0,21
1816,0,21
1873,0,21
1888,0,21
1893,1,21
1926,1,21
1952,0,21
1966,1,21
1993,0,21
