node,obs_st,time
16,1,21
21,1,21
22,1,21
77,1,21
129,1,21
130,1,21
142,0,21
152,1,21
227,1,21
297,1,21
321,0,21
331,0,21
344,0,21
353,0,21
411,1,21
420,0,21
421,1,21
431,1,21
490,1,21
507,1,21
539,0,21
637,1,21
640,0,21
662,1,21
696,1,21
802,0,21
831,1,21
863,0,21
888,1,21
933,1,21
961,1,21
980,0,21
984,0,21
1098,0,21
1118,1,21
1188,1,21
1216,1,21
1254,0,21
1255,0,21
1306,1,21
1338,1,21
1344,1,21
1510,1,21
1523,0,21
1538,1,21
1577,1,21
1595,0,21
1601,1,21
1602,1,21
1606,1,21
1651,1,21
1665,0,21
1726,1,21
1729,0,21
1766,0,21
1806,1,21
1839,1,21
1877,1,21
1883,0,21
1937,1,21
