node,obs_st,time
49,0,21
117,0,21
139,1,21
151,1,21
190,0,21
228,0,21
345,1,21
420,0,21
470,1,21
528,0,21
534,0,21
546,1,21
572,1,21
580,0,21
621,1,21
625,0,21
670,1,21
704,1,21
711,1,21
762,0,21
821,1,21
837,1,21
856,1,21
891,0,21
904,0,21
936,0,21
1018,0,21
1050,0,21
1060,1,21
1085,0,21
1149,0,21
1170,0,21
1189,1,21
1201,1,21
1227,1,21
1247,0,21
1353,1,21
1372,0,21
1382,0,21
1398,1,21
1422,0,21
1443,1,21
1498,1,21
1512,0,21
1514,1,21
1529,0,21
1553,0,21
1639,1,21
1686,0,21
1762,0,21
1799,0,21
1808,1,21
1813,0,21
1840,1,21
1872,0,21
1873,0,21
1949,0,21
1966,1,21
1972,0,21
1974,0,21
