node,obs_st,time
14,0,25
77,1,25
105,0,25
120,0,25
127,0,25
142,0,25
171,1,25
268,0,25
279,0,25
296,1,25
386,0,25
399,0,25
408,1,25
427,0,25
447,0,25
459,0,25
501,1,25
519,0,25
520,0,25
522,1,25
