node,obs_st,time
4,1,25
32,0,25
49,0,25
81,1,25
82,1,25
172,1,25
175,1,25
206,0,25
287,0,25
376,1,25
386,1,25
391,1,25
393,1,25
415,0,25
433,1,25
438,0,25
555,1,25
561,1,25
583,1,25
586,1,25
