node,obs_st,time
9,0,18
14,0,18
17,1,18
23,0,18
46,0,18
75,1,18
90,0,18
108,0,18
146,0,18
147,0,18
148,1,18
161,0,18
178,1,18
184,0,18
210,0,18
231,0,18
233,0,18
251,0,18
279,1,18
282,0,18
