node,obs_st,time
10,0,36
41,0,36
48,1,36
82,1,36
93,1,36
102,1,36
116,1,36
117,0,36
125,1,36
126,1,36
131,1,36
156,0,36
160,1,36
165,0,36
200,1,36
203,1,36
221,1,36
287,0,36
309,0,36
312,0,36
