node,obs_st,time
2,1,28
3,0,28
30,1,28
79,1,28
158,1,28
218,0,28
247,1,28
261,1,28
275,0,28
307,1,28
322,0,28
367,1,28
374,0,28
397,0,28
400,0,28
432,0,28
473,0,28
476,0,28
519,0,28
552,1,28
