node,obs_st,time
45,0,24
67,1,24
94,0,24
96,0,24
122,0,24
134,0,24
160,1,24
169,0,24
174,0,24
195,0,24
201,1,24
214,0,24
235,0,24
270,0,24
315,1,24
372,1,24
390,0,24
432,0,24
455,1,24
472,0,24
483,0,24
529,0,24
538,0,24
594,0,24
628,0,24
675,0,24
721,1,24
732,0,24
756,0,24
786,0,24
795,0,24
796,0,24
801,0,24
809,1,24
833,0,24
839,0,24
898,0,24
919,0,24
934,0,24
953,0,24
