node,obs_st,time
13,0,24
15,1,24
90,0,24
92,0,24
143,1,24
150,1,24
162,1,24
205,1,24
216,1,24
226,1,24
250,1,24
311,0,24
318,1,24
362,1,24
407,1,24
428,1,24
456,0,24
471,1,24
483,0,24
503,1,24
534,1,24
552,0,24
607,0,24
616,1,24
624,1,24
633,1,24
665,1,24
717,1,24
745,1,24
761,1,24
794,1,24
858,0,24
899,1,24
909,1,24
923,1,24
929,1,24
931,1,24
934,0,24
942,0,24
945,0,24
