node,obs_st,time
0,0,24
9,1,24
25,1,24
50,1,24
83,1,24
95,1,24
143,1,24
160,1,24
176,0,24
249,0,24
356,1,24
399,0,24
439,0,24
449,1,24
476,1,24
520,0,24
548,0,24
555,1,24
575,1,24
581,0,24
587,0,24
592,0,24
600,1,24
602,1,24
659,0,24
666,1,24
704,1,24
715,1,24
776,0,24
867,0,24
897,0,24
909,1,24
912,0,24
916,1,24
922,0,24
945,0,24
949,1,24
969,1,24
973,1,24
990,0,24
