lamb,seed,n_unobs,n_pos,auc,sib_conv
0.0221,26,210,4,0.9059466019417476,True
0.0221,27,210,9,0.8385848535102266,True
0.0221,28,210,8,0.9851485148514852,True
0.0221,29,210,4,0.8228155339805826,True
0.0221,30,210,4,0.9878640776699028,True
0.0221,31,210,9,0.9867330016583749,True
0.0221,32,210,2,0.4783653846153846,True
0.0221,33,210,6,0.9852941176470588,True
0.0221,34,210,8,0.5074257425742574,True
0.0221,35,210,3,0.6586151368760065,True
0.0221,36,210,5,0.8507317073170733,True
0.0221,37,210,6,0.6830065359477124,True
0.0221,38,210,7,0.9612948627726954,True
0.0221,39,210,5,0.862439024390244,True
0.0221,40,210,4,0.4029126213592233,True
0.0221,41,210,7,0.964109781843772,True
0.0221,42,210,2,0.8149038461538461,True
0.0221,43,210,2,0.908653846153846,True
0.0221,44,210,7,0.916256157635468,True
0.0221,45,210,5,0.9697560975609756,True
0.0221,46,210,3,0.996779388083736,True
0.0221,47,210,4,0.8798543689320388,True
0.0221,48,210,2,0.9375,True
0.0221,49,210,4,0.9963592233009708,True
0.0221,50,210,11,0.8401096391046141,True
0.0327,1,210,12,0.9915824915824916,True
0.0327,2,210,6,0.4869281045751634,True
0.0327,3,210,3,0.6392914653784219,True
0.0327,4,210,3,0.9001610305958132,True
0.0327,5,210,2,0.8149038461538463,True
0.0327,6,210,9,0.996130458817026,True
0.0327,7,210,10,0.7675,True
0.0327,8,210,11,0.8894472361809045,True
0.0327,9,210,7,0.8648838845883181,True
0.0327,10,210,13,0.9964857477547832,False
0.0327,11,210,4,0.9987864077669903,True
0.0327,12,210,5,0.9873170731707318,True
0.0327,13,210,5,0.9980487804878048,True
0.0327,14,210,6,0.8178104575163399,True
0.0327,15,210,6,0.9991830065359476,True
0.0327,16,210,4,0.9381067961165048,True
0.0327,17,210,11,0.8113293741434445,True
0.0327,18,210,4,0.7754854368932038,True
0.0327,19,210,5,0.9960975609756098,True
0.0327,20,210,5,0.5004878048780488,True
0.0327,21,210,10,0.9765,True
0.0327,22,210,19,0.9809864976577568,True
0.0327,23,210,12,0.970959595959596,True
0.0327,24,210,6,0.6584967320261438,True
0.0327,25,210,5,0.5639024390243903,True
0.0327,26,210,5,0.8351219512195123,True
0.0327,27,210,11,0.9908634079488352,True
0.0327,28,210,2,0.8004807692307692,True
0.0327,29,210,6,0.8651960784313726,True
