lamb,nobs,seed,n_unobs,n_pos,auc,sib_conv
0.07,15,32,285,10,0.4589090909090909,True
0.07,15,33,285,20,0.8883018867924528,True
0.07,15,34,285,13,0.7796945701357466,True
0.07,15,35,285,21,0.8452380952380953,True
0.07,15,36,285,22,0.8052194953335637,True
0.07,15,37,285,8,0.8689079422382671,True
0.07,15,38,285,11,0.5447909754479098,True
0.07,15,39,285,17,0.819468832309043,True
0.07,15,40,285,14,0.8017923036373221,True
0.07,15,41,285,39,0.9849906191369606,True
0.07,15,42,285,34,0.7979845324584017,True
0.07,15,43,285,45,0.8373148148148148,True
0.07,15,44,285,47,0.8401573395315574,True
0.07,15,45,285,26,0.9125334125334126,True
0.07,15,46,285,3,0.3362884160756502,True
0.07,15,47,285,45,0.7739814814814815,True
0.07,15,48,285,13,0.8529411764705883,True
0.07,15,49,285,23,0.8300696979754397,True
0.07,15,50,285,31,0.9554229108458216,True
0.07,135,1,165,16,0.9966442953020136,True
0.07,135,2,165,15,0.9942222222222225,True
0.07,135,3,165,14,0.9754020813623464,True
0.07,135,4,165,7,0.9954792043399638,True
0.07,135,5,165,9,0.9907407407407408,False
0.07,135,6,165,16,0.9987416107382552,False
0.07,135,7,165,4,0.7919254658385093,True
0.07,135,8,165,6,0.9916142557651992,False
0.07,135,9,165,14,0.998580889309366,True
0.07,135,10,165,8,0.9952229299363056,True
0.07,135,11,165,16,0.989513422818792,False
0.07,135,12,165,8,0.8829617834394905,True
0.07,135,13,165,29,0.9951825557809332,True
0.07,135,14,165,6,0.991614255765199,False
0.07,135,15,165,11,0.9728453364817,True
0.07,135,16,165,16,0.9819630872483222,False
0.07,135,17,165,17,0.9781399046104928,True
0.07,135,18,165,28,0.9979144942648592,True
0.07,135,19,165,4,0.998447204968944,True
0.07,135,20,165,10,1.0,True
0.07,135,21,165,6,0.9989517819706498,True
0.07,135,22,165,19,0.998197548666186,True
0.07,135,23,165,18,0.9939531368102796,True
0.07,135,24,165,7,0.9963833634719712,True
0.07,135,25,165,15,0.975111111111111,False
0.07,135,26,165,9,0.9857549857549858,True
0.07,135,27,165,13,0.999493927125506,False
0.07,135,28,165,11,0.9716646989374262,False
0.07,135,29,165,10,0.9922580645161292,True
0.07,135,30,165,4,0.984472049689441,True
0.07,135,31,165,12,0.997276688453159,True
0.07,135,32,165,7,0.9701627486437614,True
0.07,135,33,165,11,0.9675324675324676,True
0.07,135,34,165,8,0.9968152866242038,True
0.07,135,35,165,9,0.9935897435897436,True
0.07,135,36,165,14,0.9985808893093662,False
0.07,135,37,165,5,0.974375,True
0.07,135,38,165,4,1.0,True
0.07,135,39,165,9,0.9964387464387464,True
0.07,135,40,165,9,0.9957264957264956,True
0.07,135,41,165,21,0.9910714285714286,False
0.07,135,42,165,20,0.9955172413793104,True
0.07,135,43,165,31,0.9910929224843524,False
0.07,135,44,165,27,0.977992485238862,True
0.07,135,45,165,17,0.9797297297297296,False
0.07,135,46,165,3,0.7314814814814814,True
0.07,135,47,165,30,0.9693827160493826,False
0.07,135,48,165,6,0.9989517819706498,True
0.07,135,49,165,11,0.9828807556080282,True
0.07,135,50,165,17,0.9936406995230525,False
0.07,75,1,225,19,0.9951456310679612,True
0.07,75,2,225,20,0.9960975609756098,True
0.07,75,3,225,14,0.9424509140148952,True
0.07,75,4,225,8,0.9936635944700462,True
0.07,75,5,225,11,0.97196261682243,False
0.07,75,6,225,27,0.9990647212869436,True
0.07,75,7,225,4,0.6176470588235294,True
0.07,75,8,225,12,0.7891236306729265,True
0.07,75,9,225,19,0.9992335206949412,True
0.07,75,10,225,14,0.997291807718348,True
0.07,75,11,225,19,0.9928461931527848,True
0.07,75,12,225,9,0.9858539094650206,True
0.07,75,13,225,41,0.9892629904559916,True
0.07,75,14,225,6,0.9634703196347032,True
0.07,75,15,225,14,0.9624238320920786,True
0.07,75,16,225,15,0.9823809523809524,False
0.07,75,17,225,24,0.99212271973466,True
0.07,75,18,225,35,0.986015037593985,True
0.07,75,19,225,8,0.9735023041474656,True
0.07,75,20,225,13,1.0,True
0.07,75,21,225,6,0.9908675799086758,True
0.07,75,22,225,21,0.9990662931839402,False
0.07,75,23,225,21,0.9911297852474322,True
0.07,75,24,225,10,0.9846511627906976,False
0.07,75,25,225,25,0.9584,False
0.07,75,26,225,9,0.9742798353909464,True
0.07,75,27,225,22,0.8916256157635467,False
0.07,75,28,225,14,0.9140148950575492,False
0.07,75,29,225,11,0.9974511469838572,True
0.07,75,30,225,6,0.952054794520548,True
0.07,75,31,225,17,0.9759615384615384,True
0.07,75,32,225,8,0.9544930875576036,True
0.07,75,33,225,16,0.9811602870813396,True
0.07,75,34,225,8,0.9976958525345622,True
0.07,75,35,225,19,0.9992335206949412,True
0.07,75,36,225,15,0.9987301587301588,False
0.07,75,37,225,7,0.9832896461336827,True
0.07,75,38,225,8,0.9994239631336406,True
0.07,75,39,225,16,0.938098086124402,True
0.07,75,40,225,13,0.9782293178519592,False
0.07,75,41,225,27,0.9902731013842124,True
0.07,75,42,225,28,0.9923857868020304,True
0.07,75,43,225,35,0.974436090225564,False
0.07,75,44,225,36,0.9770723104056438,True
0.07,75,45,225,21,0.9509803921568628,True
0.07,75,46,225,2,0.9630044843049328,True
0.07,75,47,225,34,0.962272867262088,False
0.07,75,48,225,11,0.9995751911639764,True
0.07,75,49,225,17,0.9960407239819004,True
0.07,75,50,225,25,0.9082,True
0.07,45,1,255,24,0.9821428571428572,True
0.07,45,2,255,26,0.994793416190796,True
0.07,45,3,255,20,0.6829787234042554,False
0.07,45,4,255,9,0.9471544715447154,True
0.07,45,5,255,13,0.9732994278448824,False
0.07,45,6,255,28,0.999685336689742,False
0.07,45,7,255,5,0.8592,True
0.07,45,8,255,13,0.8753973299427844,False
0.07,45,9,255,23,1.0,True
0.07,45,10,255,16,0.9746338912133892,True
