lamb,seed,n_unobs,n_pos,auc,scdc_conv
0.1052,33,210,96,0.9873457272301203,false
0.1052,34,0,0,0.9979838709677419,false
0.1052,35,210,44,1.0,false
0.1052,36,210,30,0.9967561722832943,false
0.1052,37,0,0,1.0,true
0.1052,38,0,0,0.9726495726495726,false
0.1052,39,210,55,0.9961421879305594,false
0.1052,40,0,0,1.0,false
0.1052,41,210,86,1.0,false
0.1052,42,0,0,0.9957894736842106,true
0.1052,43,0,0,0.978377121599628,false
0.1052,44,0,0,0.9683333333333334,false
0.1052,45,0,0,1.0,false
0.1052,46,210,69,0.9946450428396573,false
0.1052,47,210,26,1.0,false
0.1052,48,0,0,0.9981575963718821,false
0.1052,49,210,163,0.9899193548387096,false
0.1052,50,0,0,0.9996581196581197,false
0.1554,1,210,33,0.9906938775510205,false
0.1554,2,0,0,0.9976008397061029,true
0.1554,3,210,109,1.0,true
0.1554,4,0,0,0.993916797488226,false
0.1554,5,0,0,0.9881365740740741,true
0.1554,6,0,0,0.9978451178451179,false
0.1554,7,210,156,1.0,true
0.1554,8,0,0,0.9913513513513513,false
0.1554,9,210,41,0.9887242268041238,false
0.1554,10,210,82,0.9948979591836735,true
0.1554,11,0,0,0.9780707479441326,false
0.1554,12,0,0,0.99,false
0.1554,13,0,0,0.9836557204978258,false
0.1554,14,0,0,0.9913974719101124,false
0.1554,15,210,138,0.9988302139037433,false
0.1554,16,0,0,0.9915675675675676,false
0.1554,17,210,69,0.9968568665377177,true
0.1554,18,0,0,0.9890429720938195,false
0.1554,19,0,0,0.996323995436684,false
0.1554,20,0,0,0.9993662061097731,false
0.1554,21,210,33,0.9884393063583815,false
0.1554,22,0,0,0.9732003364980171,false
0.1554,23,210,75,0.9810729669755907,false
0.1554,24,210,77,0.9997368421052631,false
0.1554,25,0,0,0.9946601241160341,false
0.1554,26,0,0,0.9987982213676241,false
0.1554,27,210,53,0.9927662037037037,false
0.1554,28,0,0,0.9995164410058027,false
0.1554,29,0,0,0.965416880671118,false
0.1554,30,0,0,0.9997909698996655,false
0.1554,31,210,132,0.9981978734907191,true
0.1554,32,0,0,0.9901685393258427,false
0.1554,33,210,87,0.9920997191011236,false
0.1554,34,0,0,0.9960391682253273,false
0.1554,35,0,0,0.9951515151515151,false
0.1554,36,0,0,0.993625,true
0.1554,37,0,0,0.9981978734907191,false
0.1554,38,210,58,0.9742351046698873,false
0.1554,39,210,112,0.994157740993184,false
0.1554,40,0,0,0.9772727272727273,false
0.1554,41,0,0,0.992647990873368,false
0.1554,42,0,0,0.9996952148735142,false
0.1554,43,0,0,0.9983075435203095,false
0.1554,44,0,0,0.9606164383561644,false
0.1554,45,210,67,0.997444011684518,false
0.1554,46,0,0,0.9978137860082305,false
0.1554,47,210,126,0.9848148148148148,false
0.1554,48,0,0,0.9972588434930165,false
0.1554,49,0,0,0.9968186638388123,false
0.1554,50,0,0,0.9993151857558638,false
0.2294,1,210,55,0.9990416210295728,false
0.2294,2,210,124,0.9945180447693011,false
0.2294,3,0,0,0.9893944999383402,true
0.2294,4,0,0,1.0,false
0.2294,5,210,86,0.9990079365079365,false
0.2294,6,0,0,0.9723889555822329,false
0.2294,7,0,0,0.9962268743914313,false
0.2294,8,0,0,0.9998798221367624,false
0.2294,9,210,73,0.9941318926974665,false
0.2294,10,0,0,0.9956730769230769,false
0.2294,11,0,0,0.9968672497063047,true
0.2294,12,0,0,0.9991176470588236,false
0.2294,13,210,95,1.0,true
0.2294,14,0,0,0.9916142557651991,false
0.2294,15,0,0,0.9876657415972865,false
0.2294,16,210,60,0.9978094194961665,true
0.2294,17,0,0,1.0,false
0.2294,18,0,0,0.9941550986327106,false
0.2294,19,0,0,0.9950954400848356,false
0.2294,20,0,0,0.9997582205029013,true
0.2294,21,210,82,0.9977941176470588,false
0.2294,22,0,0,0.9980563654033042,false
0.2294,23,210,55,0.996031746031746,false
0.2294,24,0,0,0.9731280193236715,false
0.2294,25,0,0,0.9994331065759637,false
0.2294,26,0,0,1.0,true
0.2294,27,0,0,0.9964209968186638,false
0.2294,28,0,0,0.9988015750727615,false
0.2294,29,210,85,0.9982815185127324,false
0.2294,30,210,94,0.9980771541881985,false
0.2294,31,0,0,0.9967042717708201,false
0.2294,32,0,0,0.996996685998343,false
0.2294,33,0,0,0.9924414210128496,false
0.2294,34,0,0,0.970079575596817,false
0.2294,35,0,0,1.0,false
0.2294,36,0,0,0.9912513669739104,true
0.2294,37,210,63,0.9913370211877675,true
0.2294,38,0,0,0.9952623906705539,false
0.2294,39,0,0,0.9954819277108434,false
0.2294,40,0,0,0.9832952770099748,false
0.2294,41,0,0,0.9876672240802675,false
0.2294,42,0,0,0.9988226059654631,false
0.2294,43,0,0,0.9783518545244624,false
0.2294,44,210,74,0.9973404255319149,false
0.2294,45,210,128,1.0,false
0.2294,46,0,0,0.9801706525657974,false
0.2294,47,0,0,0.9719652368937483,false
0.2294,48,0,0,0.9960840621328808,false
0.2294,49,0,0,0.9969193530641435,false
0.2294,50,0,0,0.9936656891495601,false
0.3387,1,210,18,0.9930175246440307,false
0.3387,2,0,0,0.9966796319134807,true
0.3387,3,210,113,0.9823545629997242,false
0.3387,4,0,0,0.9992168124265761,false
0.3387,5,0,0,0.9641456071526321,false
0.3387,6,0,0,0.9979002099790021,false
0.3387,7,0,0,0.991636798088411,false
0.3387,8,0,0,0.9991762013729977,false
0.3387,9,0,0,0.966870095902354,false
0.3387,10,0,0,0.9878457268638147,false
0.3387,11,210,97,0.994026284348865,false
0.3387,12,0,0,0.9964096749811036,false
0.3387,13,0,0,0.995576923076923,false
0.3387,14,0,0,0.965766590389016,false
0.3387,15,0,0,0.9974489795918368,false
0.3387,16,0,0,0.9846782431052093,false
0.3387,17,0,0,0.9964774557165862,false
0.3387,18,0,0,0.9986601588668772,false
0.3387,19,210,136,0.9988001199880012,false
0.3387,20,0,0,1.0,true
0.3387,21,0,0,0.9885435571687841,false
0.3387,22,0,0,0.9927332182759561,false
0.3387,23,0,0,0.9934886280264124,false
0.3387,24,0,0,0.9993086419753087,false
0.3387,25,0,0,0.9877558479532164,false
0.3387,26,0,0,0.9966346153846154,false
0.3387,27,210,146,0.974,false
0.3387,28,0,0,0.9877558479532164,false
0.3387,29,0,0,0.9886621315192744,false
0.3387,30,0,0,0.9947654320987654,false
0.3387,31,0,0,0.9979114998042031,true
0.3387,32,0,0,0.983909090909091,false
0.3387,33,0,0,0.9948741418764302,false
0.3387,34,0,0,0.9990615835777126,false
0.3387,35,210,99,0.9951690821256038,false
0.3387,36,0,0,0.9928240530475065,true
0.3387,37,0,0,0.9962842987804879,false
0.3387,38,0,0,0.9982526467262822,false
0.3387,39,0,0,0.9975588321452983,false
0.3387,40,0,0,0.9947315832500682,false
0.3387,41,0,0,0.9961433756805808,false
0.3387,42,0,0,0.9998956267612984,false
0.3387,43,210,116,0.9997186796699175,false
0.3387,44,0,0,0.9957004299570043,false
0.3387,45,0,0,0.9994444444444445,false
0.3387,46,0,0,0.9903812316715542,false
0.3387,47,0,0,0.9637747615553925,false
0.3387,48,0,0,0.9940381558028617,false
0.3387,49,0,0,0.9972178060413355,false
0.3387,50,0,0,1.0,false
0.5,1,210,159,0.9918185584092792,false
0.5,2,0,0,0.9998076923076923,false
0.5,3,0,0,0.990204081632653,false
0.5,4,0,0,0.9985955056179775,false
0.5,5,0,0,0.9885500050663695,false
0.5,6,0,0,0.9967407407407407,false
0.5,7,0,0,0.9996980676328503,false
0.5,8,0,0,0.9966216216216216,false
0.5,9,0,0,0.9975328947368421,false
0.5,10,0,0,0.9988025055268975,false
0.5,11,0,0,0.991407592563662,true
0.5,12,0,0,0.985390380419315,false
0.5,13,0,0,0.9937286830234349,false
0.5,14,0,0,0.9984,false
0.5,15,0,0,0.991515372684974,false
0.5,16,0,0,0.9914043082021541,false
0.5,17,0,0,0.9976564788594864,false
0.5,18,0,0,0.9816261414897128,false
0.5,19,0,0,0.9995438372411276,false
0.5,20,0,0,0.9979133545310016,false
0.5,21,0,0,0.9944590789354165,false
0.5,22,0,0,0.9985295469166436,false
0.5,23,0,0,0.9990926413211142,false
0.5,24,0,0,0.9955674577523317,false
0.5,25,0,0,0.9577718832891247,false
0.5,26,0,0,0.9988533425065933,false
0.5,27,0,0,0.9975454545454545,true
0.5,28,0,0,0.9991162608012569,false
0.5,29,0,0,0.9987207602339181,false
0.5,30,0,0,0.9969054763690923,false
0.5,31,0,0,0.99321237436366,false
0.5,32,0,0,0.9997625830959165,false
0.5,33,0,0,0.998389694041868,false
0.5,34,0,0,0.9898271604938271,false
0.5,35,0,0,0.9998057498057498,false
0.5,36,0,0,0.9997266763848397,true
0.5,37,0,0,0.9941421012849584,false
0.5,38,0,0,0.9991560390097525,false
0.5,39,0,0,0.9978947368421053,false
0.5,40,0,0,0.9908536585365854,false
0.5,41,0,0,0.9770352941176471,false
0.5,42,0,0,0.9996760609005507,false
0.5,43,0,0,0.9972370426829268,false
0.5,44,0,0,0.9994526046893532,false
0.5,45,0,0,0.9988139768269318,false
0.5,46,0,0,0.9945349761526232,false
0.5,47,0,0,0.9331121575342466,false
0.5,48,0,0,0.959049959049959,false
0.5,49,0,0,0.9996331621423331,false
0.5,50,0,0,0.9798988777901098,false
