lamb,nobs,seed,n_unobs,n_pos,auc
0.07,135,17,165,17,0.9797297297297296
0.07,135,18,165,28,0.990354535974974
0.07,135,19,165,4,0.9953416149068324
0.07,135,20,165,10,0.9870967741935484
0.07,135,21,165,6,0.9968553459119496
0.07,135,22,165,19,0.9974765681326604
0.07,135,23,165,18,0.9897959183673468
0.07,135,24,165,7,0.9990958408679927
0.07,135,25,165,15,0.978
0.07,135,26,165,9,0.9675925925925926
0.07,135,27,165,13,0.9959514170040484
0.07,135,28,165,11,0.9663518299881936
0.07,135,29,165,10,0.9883870967741936
0.07,135,30,165,4,0.9883540372670808
0.07,135,31,165,12,0.9945533769063182
0.07,135,32,165,7,0.705244122965642
0.07,135,33,165,11,0.9645808736717828
0.07,135,34,165,8,0.9968152866242038
0.07,135,35,165,9,0.9925213675213675
0.07,135,36,165,14,0.9971617786187322
0.07,135,37,165,5,0.8931250000000001
0.07,135,38,165,4,1.0
0.07,135,39,165,9,0.9971509971509972
0.07,135,40,165,9,0.9946581196581196
0.07,135,41,165,21,0.986111111111111
0.07,135,42,165,20,0.9982758620689656
0.07,135,43,165,31,0.9841116995666828
0.07,135,44,165,27,0.96658615136876
0.07,135,45,165,17,0.9829093799682036
0.07,135,46,165,3,0.5
0.07,135,47,165,30,0.9790123456790124
0.07,135,48,165,6,0.9968553459119496
0.07,135,49,165,11,0.974616292798111
0.07,135,50,165,17,0.972972972972973
0.07,75,1,225,19,0.984925907000511
0.07,75,2,225,20,0.9940243902439024
0.07,75,3,225,14,0.9664861205145564
0.07,75,4,225,8,0.9951036866359448
0.07,75,5,225,11,0.9694137638062872
0.07,75,6,225,27,0.993640104751216
0.07,75,7,225,4,0.7437782805429863
0.07,75,8,225,12,0.5809859154929577
0.07,75,9,225,19,0.9991057741440982
0.07,75,10,225,14,0.9949221394719026
0.07,75,11,225,19,0.9908022483392948
0.07,75,12,225,9,0.9909979423868313
0.07,75,13,225,41,0.962221633085896
0.07,75,14,225,6,0.9992389649923896
0.07,75,15,225,14,0.9165538253215978
0.07,75,16,225,15,0.9842857142857142
0.07,75,17,225,24,0.9899461028192372
0.07,75,18,225,35,0.8923308270676693
0.07,75,19,225,8,0.9300115207373272
0.07,75,20,225,13,0.9992743105950652
0.07,75,21,225,6,0.9923896499238964
0.07,75,22,225,21,0.9981325863678804
0.07,75,23,225,21,0.9857609710550888
0.07,75,24,225,10,0.9804651162790698
0.07,75,25,225,25,0.8192
0.07,75,26,225,9,0.9760802469135804
0.07,75,27,225,22,0.8078817733990147
0.07,75,28,225,14,0.9128300609343264
0.07,75,29,225,11,0.9927782497875955
0.07,75,30,225,6,0.4771689497716895
0.07,75,31,225,17,0.8453054298642535
0.07,75,32,225,8,0.7439516129032259
0.07,75,33,225,16,0.958433014354067
0.07,75,34,225,8,0.9965437788018432
0.07,75,35,225,19,0.9832652018395504
0.07,75,36,225,15,0.9998412698412698
0.07,75,37,225,7,0.9259501965923984
0.07,75,38,225,8,0.9976958525345624
0.07,75,39,225,16,0.8738038277511961
0.07,75,40,225,13,0.9348693759071118
0.07,75,41,225,27,0.9862514029180696
0.07,75,42,225,28,0.9867657722987672
0.07,75,43,225,35,0.986390977443609
0.07,75,44,225,36,0.966416813639036
0.07,75,45,225,21,0.8831699346405228
0.07,75,46,225,2,0.7477578475336323
0.07,75,47,225,34,0.9773637203572528
0.07,75,48,225,11,1.0
0.07,75,49,225,17,0.9868495475113122
0.07,75,50,225,25,0.8442000000000001
0.07,45,1,255,24,0.8515512265512267
0.07,45,2,255,26,0.960194827007054
0.07,45,3,255,20,0.7241489361702128
0.07,45,4,255,9,0.9950316169828364
0.07,45,5,255,13,0.9170375079465988
0.07,45,6,255,28,0.9956733794839522
0.07,45,7,255,5,0.5711999999999999
0.07,45,8,255,13,0.7523839796567069
0.07,45,9,255,23,0.994752623688156
0.07,45,10,255,16,0.7167887029288702
0.07,45,11,255,23,0.9860382308845576
0.07,45,12,255,11,0.5
0.07,45,13,255,38,0.9824763521707496
0.07,45,14,255,8,0.7469635627530364
0.07,45,15,255,15,0.992638888888889
0.07,45,16,255,21,0.9631664631664631
0.07,45,17,255,23,0.975356071964018
0.07,45,18,255,40,0.9845348837209302
0.07,45,19,255,10,0.5
0.07,45,20,255,14,0.9814759928867812
0.07,45,21,255,7,0.8456221198156683
0.07,45,22,255,23,0.9967203898050974
0.07,45,23,255,26,0.9857238831037958
0.07,45,24,255,14,0.5
0.07,45,25,255,26,0.9068693315418208
0.07,45,26,255,14,0.8808535862477771
0.07,45,27,255,18,0.9976558837318332
0.07,45,28,255,14,0.6324836988737402
0.07,45,29,255,16,0.955020920502092
0.07,45,30,255,6,0.8122489959839356
0.07,45,31,255,17,0.8482451804251112
0.07,45,32,255,8,0.998987854251012
0.07,45,33,255,19,0.6633586083853703
0.07,45,34,255,11,0.9985096870342772
0.07,45,35,255,22,0.7610222395630121
0.07,45,36,255,16,0.996600418410042
0.07,45,37,255,6,0.9106425702811244
0.07,45,38,255,9,0.7732610659439928
0.07,45,39,255,14,0.925311203319502
0.07,45,40,255,12,0.970164609053498
0.07,45,41,255,34,0.9811019430396594
0.07,45,42,255,29,0.982834909978639
0.07,45,43,255,36,0.9701293759512936
0.07,45,44,255,38,0.9746543778801844
0.07,45,45,255,25,0.9704347826086956
0.07,45,46,255,2,0.7490118577075099
0.07,45,47,255,36,0.9698756976154236
0.07,45,48,255,13,0.8399554990464082
0.07,45,49,255,20,0.98
0.07,45,50,255,26,0.9717836748404434
0.07,165,1,135,12,0.994579945799458
0.07,165,2,135,14,0.9917355371900826
0.07,165,3,135,8,0.9729330708661416
0.07,165,4,135,3,0.9886363636363636
0.07,165,5,135,8,0.985236220472441
0.07,165,6,135,12,1.0
0.07,165,7,135,1,0.9701492537313432
0.07,165,8,135,6,0.985142118863049
0.07,165,9,135,14,0.9991145218417944
0.07,165,10,135,10,0.9952
0.07,165,11,135,12,0.997289972899729
0.07,165,12,135,8,0.999507874015748
0.07,165,13,135,24,0.9889264264264264
0.07,165,14,135,5,0.983846153846154
0.07,165,15,135,10,0.9876
0.07,165,16,135,15,0.9794444444444445
0.07,165,17,135,15,0.9911111111111112
0.07,165,18,135,21,0.9995822890559732
0.07,165,19,135,4,1.0
0.07,165,20,135,11,0.9934017595307918
0.07,165,21,135,3,0.9974747474747476
0.07,165,22,135,11,1.0
0.07,165,23,135,15,1.0
0.07,165,24,135,9,0.996031746031746
0.07,165,25,135,12,0.9908536585365854
0.07,165,26,135,5,0.9792307692307692
0.07,165,27,135,10,0.9932
0.07,165,28,135,5,0.9884615384615384
0.07,165,29,135,13,0.967843631778058
0.07,165,30,135,5,0.956923076923077
0.07,165,31,135,10,0.9988
0.07,165,32,135,6,0.9844961240310076
0.07,165,33,135,8,0.9916338582677166
0.07,165,34,135,7,0.9988839285714286
0.07,165,35,135,6,0.9993540051679586
0.07,165,36,135,10,0.9992
0.07,165,37,135,3,1.0
0.07,165,38,135,5,0.9969230769230768
0.07,165,39,135,5,1.0
0.07,165,40,135,6,0.9974160206718348
0.07,165,41,135,16,0.9994747899159664
0.07,165,42,135,15,0.9947222222222222
0.07,165,43,135,15,0.9888888888888888
0.07,165,44,135,25,0.9727272727272728
0.07,165,45,135,12,0.9918699186991872
0.07,165,46,135,2,0.7481203007518796
0.07,165,47,135,24,0.97484984984985
0.07,165,48,135,4,1.0
0.07,165,49,135,6,0.9748062015503876
0.07,165,50,135,14,0.9822904368358916
0.07,255,1,45,3,0.9841269841269842
0.07,255,2,45,7,0.981203007518797
0.07,255,3,45,1,0.9318181818181818
0.07,255,4,45,1,0.9772727272727272
0.07,255,5,45,2,0.9767441860465116
0.07,255,6,45,4,1.0
0.07,255,7,45,1,1.0
0.07,255,8,45,2,0.9709302325581396
0.07,255,9,45,6,0.9957264957264956
0.07,255,10,45,2,1.0
0.07,255,11,45,6,0.9893162393162392
0.07,255,12,45,2,0.9883720930232558
0.07,255,13,45,5,0.9875
0.07,255,14,45,1,0.9431818181818182
0.07,255,15,45,2,1.0
0.07,255,16,45,5,0.98
0.07,255,17,45,4,1.0
0.07,255,18,45,9,1.0
0.07,255,19,45,2,1.0
0.07,255,20,45,1,1.0
0.07,255,21,45,1,0.9090909090909092
0.07,255,22,45,5,1.0
0.07,255,23,45,6,0.9914529914529916
0.07,255,24,45,3,0.9722222222222222
0.07,255,25,45,4,1.0
0.07,255,26,45,1,1.0
0.07,255,27,45,2,1.0
0.07,255,28,45,2,1.0
0.07,255,29,45,4,0.9939024390243902
0.07,255,30,45,2,0.9767441860465116
0.07,255,31,45,1,1.0
0.07,255,32,45,2,1.0
0.07,255,33,45,4,0.9939024390243902
0.07,255,34,45,1,1.0
0.07,255,35,45,3,1.0
0.07,255,36,45,3,1.0
0.07,255,37,45,4,0.8689024390243902
0.07,255,38,45,1,1.0
0.07,255,39,45,4,1.0
0.07,255,40,45,1,0.9886363636363636
0.07,255,41,45,6,0.9914529914529916
0.07,255,42,45,4,1.0
0.07,255,43,45,9,0.992283950617284
0.07,255,44,45,10,0.9957142857142856
0.07,255,45,45,5,1.0
0.07,255,46,45,1,1.0
0.07,255,47,45,6,1.0
