lamb,n_obs,seed,n_unobs,n_pos,auc,scdc_conv
0.07,225,41,75,3,0.9913954358398803,false
0.07,105,42,195,27,0.9923857868020305,false
0.07,0,43,0,0,0.9796992481203007,false
0.07,0,44,0,0,0.9778071722516167,true
0.07,285,45,15,1,0.9507469654528478,true
0.07,165,46,135,13,0.968609865470852,true
0.07,0,47,0,0,0.9610409608869726,false
0.07,225,48,75,1,1.0,false
0.07,135,49,165,5,0.995475113122172,false
0.07,0,50,0,0,0.9418,false
0.07,195,1,105,12,0.9994019138755981,true
0.07,0,2,0,0,0.9958100558659218,false
0.07,255,3,45,2,0.9735135135135136,false
0.07,285,4,15,1,0.9953208556149733,false
0.07,225,5,75,7,0.9672131147540983,false
0.07,165,6,135,10,0.9994944388270981,false
0.07,195,7,105,7,0.7652631578947369,false
0.07,0,8,0,0,0.9821621621621621,false
0.07,0,9,0,0,0.9993722536095417,true
0.07,0,10,0,0,0.9821927374301676,true
0.07,255,11,45,1,0.9990583804143126,false
0.07,225,12,75,4,0.9926315789473684,true
0.07,285,13,15,1,0.9890760127446518,false
0.07,0,14,0,0,0.6957671957671958,false
0.07,135,15,165,21,0.9864750633981403,true
0.07,165,16,135,8,0.9874421678783873,false
0.07,0,17,0,0,0.9961124401913876,false
0.07,0,18,0,0,1.0,false
0.07,255,19,45,1,1.0,false
0.07,0,20,0,0,0.9980268350434096,false
0.07,165,21,135,7,0.9770723104056437,false
0.07,285,22,15,1,0.9994285714285714,false
0.07,135,23,165,31,0.9961685823754789,false
0.07,0,24,0,0,0.9904420549581839,false
0.07,195,25,105,11,0.9692404268675455,true
0.07,225,26,75,10,0.9805405405405405,false
0.07,255,27,45,5,0.9937150837988827,false
0.07,0,28,0,0,0.9324970131421745,false
0.07,0,29,0,0,0.9881610102604578,false
0.07,0,30,0,0,0.8651832460732984,false
0.07,285,31,15,1,0.9966187658495351,true
0.07,0,32,0,0,0.9936842105263158,true
0.07,225,33,75,2,0.9776536312849162,false
0.07,0,34,0,0,0.9731182795698925,true
0.07,255,35,45,6,1.0,false
0.07,165,36,135,3,0.9980268350434096,false
0.07,195,37,105,6,0.9852941176470589,false
0.07,0,38,0,0,0.9866310160427807,true
0.07,135,39,165,30,0.9935135135135135,false
0.07,285,40,15,1,0.994026284348865,false
0.07,165,41,135,5,0.993680485338726,false
0.07,0,42,0,0,0.9945714285714286,false
0.07,255,43,45,3,0.9881134969325154,false
0.07,0,44,0,0,0.9891507669285448,true
0.07,0,45,0,0,0.9917382683410443,false
0.07,165,46,135,5,0.9870466321243523,true
0.07,225,47,75,6,0.9872134038800705,false
0.07,0,48,0,0,0.9850657108721624,true
0.07,285,49,15,1,0.997489014438167,true
0.07,0,50,0,0,0.9846743295019157,false
0.07,255,1,45,4,0.9966442953020134,true
0.07,0,2,0,0,0.9942222222222222,true
0.07,0,3,0,0,0.9810785241248817,false
0.07,225,4,75,5,0.9954792043399638,false
0.07,195,5,105,5,0.9971509971509972,false
0.07,165,6,135,16,1.0,true
0.07,0,7,0,0,0.7484472049689441,false
0.07,285,8,15,1,0.9958071278825996,false
0.07,255,9,45,1,0.9985808893093662,true
0.07,0,10,0,0,0.9952229299363057,false
0.07,225,11,75,2,0.9911912751677853,false
0.07,0,12,0,0,0.8964968152866242,true
0.07,0,13,0,0,0.9964503042596349,false
0.07,0,14,0,0,0.9979035639412998,false
0.07,0,15,0,0,0.9663518299881936,false
0.07,165,16,135,15,0.9828020134228188,false
0.07,285,17,15,1,0.9765500794912559,true
0.07,225,18,75,8,1.0,false
0.07,0,19,0,0,0.9953416149068323,false
0.07,0,20,0,0,1.0,false
0.07,165,21,135,25,1.0,true
0.07,0,22,0,0,0.9985580389329488,true
0.07,195,23,105,3,0.9939531368102796,false
0.07,0,24,0,0,0.9972875226039783,false
0.07,255,25,45,2,0.9768888888888889,false
0.07,285,26,15,2,0.9950142450142451,false
0.07,0,27,0,0,0.9989878542510121,false
0.07,0,28,0,0,0.973435655253837,false
0.07,195,29,105,3,0.9909677419354839,true
0.07,0,30,0,0,0.984472049689441,false
0.07,165,31,135,2,0.9972766884531591,false
0.07,225,32,75,6,0.972875226039783,true
0.07,255,33,45,4,0.9722550177095631,false
0.07,0,34,0,0,0.9952229299363057,false
0.07,285,35,15,2,0.9943019943019943,false
0.07,165,36,135,24,0.9981078524124882,false
0.07,0,37,0,0,0.9725,true
0.07,0,38,0,0,1.0,false
0.07,225,39,75,5,0.9978632478632479,false
0.07,0,40,0,0,0.9971509971509972,false
0.07,255,41,45,2,0.9923941798941799,false
0.07,0,42,0,0,0.9962068965517241,false
0.07,0,43,0,0,0.990611458834858,false
0.07,285,44,15,1,0.9790660225442834,false
0.07,0,45,0,0,0.9813195548489666,false
0.07,225,46,75,7,0.7057613168724279,true
0.07,195,47,105,13,0.9671604938271605,false
0.07,0,48,0,0,0.9989517819706499,true
0.07,255,49,45,1,0.9852420306965761,false
0.07,0,50,0,0,0.996422893481717,false
0.07,165,1,135,14,0.9966124661246613,false
0.07,0,2,0,0,0.9988193624557261,true
0.07,285,3,15,1,0.984251968503937,false
0.07,0,4,0,0,0.9924242424242424,false
0.07,0,5,0,0,0.9901574803149606,false
0.07,0,6,0,0,1.0,true
0.07,255,7,45,2,0.9850746268656716,false
0.07,0,8,0,0,0.9935400516795866,false
0.07,195,9,105,18,0.9988193624557261,false
0.07,225,10,75,2,0.9944,false
0.07,0,11,0,0,1.0,false
0.07,285,12,15,3,1.0,false
0.07,0,13,0,0,0.9962462462462462,false
0.07,0,14,0,0,1.0,false
0.07,255,15,45,4,0.9928,false
0.07,0,16,0,0,0.9844444444444445,false
0.07,225,17,75,4,0.9955555555555555,true
0.07,0,18,0,0,0.9991645781119465,false
0.07,0,19,0,0,1.0,false
0.07,0,20,0,0,0.998533724340176,false
0.07,285,21,15,2,0.9974747474747475,false
0.07,0,22,0,0,1.0,false
0.07,255,23,45,1,1.0,false
0.07,225,24,75,8,0.9885361552028219,false
0.07,0,25,0,0,0.9993224932249323,false
0.07,0,26,0,0,0.98,false
0.07,195,27,105,1,0.9928,false
0.07,0,28,0,0,0.9938461538461538,false
0.07,0,29,0,0,0.9880201765447667,false
0.07,285,30,15,1,0.9892307692307692,false
0.07,255,31,45,3,0.9976,false
0.07,0,32,0,0,0.9948320413436692,true
0.07,195,33,105,22,0.9940944881889764,false
0.07,0,34,0,0,1.0,false
0.07,0,35,0,0,1.0,false
0.07,0,36,0,0,0.9984,false
0.07,0,37,0,0,0.9924242424242424,true
0.07,225,38,75,8,1.0,false
0.07,285,39,15,1,1.0,false
0.07,0,40,0,0,0.9935400516795866,false
0.07,0,41,0,0,1.0,true
0.07,0,42,0,0,0.9955555555555555,false
0.07,0,43,0,0,0.9855555555555555,true
0.07,0,44,0,0,0.976,true
0.07,225,45,75,11,0.9959349593495935,true
0.07,0,46,0,0,0.9962406015037594,true
0.07,255,47,45,4,0.978978978978979,false
0.07,285,48,15,1,1.0,true
0.07,0,49,0,0,0.9935400516795866,false
0.07,0,50,0,0,0.9887839433293979,false
0.07,195,1,105,15,0.9977777777777778,false
0.07,225,2,75,6,0.9953703703703703,true
0.07,0,3,0,0,0.9983164983164983,false
0.07,0,4,0,0,0.9966329966329966,false
0.07,255,5,45,1,0.9956268221574344,true
0.07,0,6,0,0,0.9962962962962963,true
0.07,285,7,15,1,0.7747524752475248,false
0.07,0,8,0,0,0.9901960784313726,true
0.07,225,9,75,8,0.9990328820116054,false
0.07,0,10,0,0,1.0,false
0.07,0,11,0,0,0.9976452119309263,false
0.07,0,12,0,0,1.0,false
0.07,255,13,45,4,0.9983277591973244,false
0.07,0,14,0,0,1.0,false
0.07,0,15,0,0,0.9978947368421053,true
0.07,285,16,15,3,0.9764309764309764,false
0.07,0,17,0,0,1.0,true
0.07,0,18,0,0,1.0,false
0.07,0,19,0,0,0.990979381443299,false
0.07,0,20,0,0,1.0,false
0.07,255,21,45,1,1.0,true
0.07,0,22,0,0,0.998,true
0.07,225,23,75,1,1.0,false
0.07,0,24,0,0,0.9927113702623906,false
0.07,285,25,15,1,0.9793906810035843,false
0.07,0,26,0,0,0.9854227405247813,false
0.07,0,27,0,0,1.0,false
0.07,0,28,0,0,0.9927113702623906,false
0.07,255,29,45,6,0.9961315280464217,false
0.07,225,30,75,11,0.9901960784313726,true
0.07,0,31,0,0,1.0,false
0.07,0,32,0,0,1.0,true
0.07,0,33,0,0,0.968013468013468,true
0.07,285,34,15,1,1.0,false
0.07,0,35,0,0,0.9974916387959866,true
0.07,0,36,0,0,0.9922680412371134,true
0.07,255,37,45,4,0.9869281045751634,true
