lamb,seed,n_unobs,n_pos,auc
0.0221,7,210,8,0.8545792079207921
0.0221,8,210,1,0.4784688995215311
0.0221,9,210,4,0.6195388349514563
0.0221,10,210,4,0.4927184466019417
0.0221,11,210,8,0.9916460396039604
0.0221,12,210,10,0.982
0.0221,13,210,4,0.5
0.0221,14,210,3,0.9782608695652174
0.0221,15,210,2,0.7355769230769231
0.0221,16,210,5,0.9941463414634146
0.0221,17,210,3,0.8196457326892108
0.0221,18,210,5,0.9648780487804878
0.0221,19,210,4,0.5
0.0221,20,210,3,0.5
0.0221,21,210,2,0.5
0.0221,22,210,9,0.9773355444997236
0.0221,23,210,3,0.9903381642512076
0.0221,24,210,3,0.6602254428341385
0.0221,25,210,3,0.8301127214170692
0.0221,26,210,4,0.5
0.0221,27,210,9,0.8711995577667219
0.0221,28,210,8,0.9854579207920792
0.0221,29,210,4,0.4830097087378641
0.0221,30,210,4,0.9878640776699028
0.0221,31,210,9,0.9850746268656716
0.0221,32,210,2,0.5
0.0221,33,210,6,0.9803921568627452
0.0221,34,210,8,0.5
0.0221,35,210,3,0.4758454106280193
0.0221,36,210,5,0.8931707317073171
0.0221,37,210,6,0.5
0.0221,38,210,7,0.9609429978888108
0.0221,39,210,5,0.878048780487805
0.0221,40,210,4,0.5
0.0221,41,210,7,0.9644616467276566
0.0221,42,210,2,0.7355769230769231
0.0221,43,210,2,0.734375
0.0221,44,210,7,0.6242083040112596
0.0221,45,210,5,0.8926829268292683
0.0221,46,210,3,0.9943639291465378
0.0221,47,210,4,0.8476941747572815
0.0221,48,210,2,0.721153846153846
0.0221,49,210,4,0.9963592233009708
0.0221,50,210,11,0.8789401553220649
0.0327,1,210,12,0.9894781144781144
0.0327,2,210,6,0.5
0.0327,3,210,3,0.5
0.0327,4,210,3,0.8172302737520127
0.0327,5,210,2,0.7259615384615384
0.0327,6,210,9,0.9950248756218906
0.0327,7,210,10,0.8467499999999999
0.0327,8,210,11,0.8789401553220649
0.0327,9,210,7,0.5439831104855735
0.0327,10,210,13,0.9964857477547832
0.0327,11,210,4,0.9951456310679612
0.0327,12,210,5,0.977560975609756
0.0327,13,210,5,0.986341463414634
0.0327,14,210,6,0.7381535947712418
0.0327,15,210,6,0.9991830065359476
0.0327,16,210,4,0.8646844660194175
0.0327,17,210,11,0.8503883051621746
0.0327,18,210,4,0.8658980582524273
0.0327,19,210,5,0.9897560975609756
0.0327,20,210,5,0.5
0.0327,21,210,10,0.9485
0.0327,22,210,19,0.981262055662717
0.0327,23,210,12,0.9469696969696968
0.0327,24,210,6,0.5
0.0327,25,210,5,0.6804878048780487
0.0327,26,210,5,0.5
0.0327,27,210,11,0.9904065783462768
0.0327,28,210,2,0.7427884615384615
0.0327,29,210,6,0.8161764705882353
0.0327,30,210,6,0.9697712418300656
0.0327,31,210,1,0.9952153110047848
