EPI,EPI_corr,MF_tau6_d20,sib,sib_mean
0.8001638001638002,0.8711302211302211,0.8163390663390664,0.8554873054873056,0.8688370188370189
0.9012617012617012,0.8474562474562475,0.8614570614570615,0.7985347985347986,0.8622303622303622
0.9478398314014753,0.9494643484369512,0.92268177028451,0.9501668422901299,0.9502107481559536
0.8831455286502038,0.8831455286502038,0.8400863102373531,0.8786861663869576,0.8786861663869576
0.8281149646756581,0.8552504816955684,0.814145793192036,0.8606294155427103,0.8720696852922287
0.88737973967176,0.8835799175357749,0.819468024900962,0.8856415231627456,0.9111892634812838
0.7253655793025872,0.8191788526434196,0.7607986501687289,0.9323397075365579,0.8174915635545557
0.9092307692307693,0.9106508875739646,0.6982248520710059,0.9142011834319527,0.9142011834319527
0.8659611124784642,0.951316761014029,0.7510214127492001,0.9346788087619986,0.9532365247354172
0.9310788773495837,0.9310788773495837,0.8756115354905158,0.9317655136898121,0.9317655136898121
0.890296695174744,0.8993770457185091,0.8777320240734875,0.8948896631823461,0.9025446098616831
0.9452416295563253,0.9452416295563253,0.878236846445654,0.9461075375226786,0.9461075375226786
0.8695687517782384,0.880055277811649,0.8377433646303296,0.8781449416737797,0.8838759500873877
0.924537037037037,0.9243686868686868,0.8807659932659933,0.9253787878787878,0.9253787878787878
0.862410945595855,0.8008419689119171,0.7460735103626943,0.8145644430051813,0.835127914507772
0.8246168246168246,0.7243477243477244,0.8299110799110798,0.741020241020241,0.7418392418392419
0.9493879273955256,0.9493879273955256,0.8898058252427185,0.9500211059518784,0.9500211059518784
0.9007814219678627,0.8962689852520362,0.8210433634162448,0.8941778560422629,0.8940127668941228
0.7608215103894539,0.8833648165266668,0.8794863550500381,0.7961094811301797,0.9088059161609261
0.8715430097272554,0.8594316231165363,0.8029277131413313,0.8678237650200267,0.8705416746137706
0.9145763764852061,0.9181874660246953,0.7362351479381843,0.9178380057466802,0.9201289120136678
0.9317961557099015,0.9317961557099015,0.887942174123728,0.9311500565336779,0.9311500565336779
0.7601683029453016,0.7719895812462432,0.7930675215387698,0.7160889601282308,0.7537968343017432
0.7890965238736242,0.9044659117903239,0.8230857550083142,0.9093752474463537,0.9128197006888906
0.9374551828539559,0.9429925902318542,0.8521631742490638,0.9459405625049796,0.9464186120627839
0.8907337128399746,0.8904965211891207,0.8400932953826693,0.8908127767235926,0.8908127767235926
0.89,0.867972972972973,0.7604504504504505,0.8628828828828828,0.8652702702702704
0.9013806706114399,0.9014611761864508,0.7823531779575736,0.9034738155617278,0.903433562774222
0.7931522354272778,0.8362438353949389,0.7712021990460021,0.8365672245128952,0.8377395100654863
0.9506138392857143,0.9537946428571429,0.8043247767857142,0.9525111607142858,0.9529575892857143
0.9480341478696742,0.9488173558897243,0.8459429824561404,0.9492481203007519,0.9492481203007519
0.8854563946097127,0.948809221120434,0.9055852190863632,0.9684295279260955,0.9621154335113145
0.895224518888097,0.9504236952561971,0.7932208759008474,0.9392175496950977,0.9514136374435734
0.8040661750049831,0.8865058800079728,0.8599760813235002,0.8560892963922663,0.905361769982061
0.8995535714285714,0.9007181677018633,0.6590644409937887,0.9033870341614907,0.9028532608695653
0.8542553191489362,0.8376280535855004,0.6023246650906224,0.8377068557919622,0.8505122143420016
0.7922774973964591,0.8500360490266763,0.8223984619081952,0.7779780501482015,0.8570055275174238
0.9268433179723502,0.9268433179723502,0.8904707044107966,0.9252386438446346,0.9252386438446346
0.8530202983614577,0.8773783321105405,0.7829787234042553,0.9237466373196381,0.9042308632917584
0.8380525405065282,0.891300928110744,0.6984426616328457,0.8836322164543023,0.898458392323423
0.8618745595489782,0.8893172490983707,0.8480081250259088,0.8974008207934336,0.8932553994113501
0.8350919505577329,0.8657564925276712,0.8044704767647184,0.865498083466127,0.8689435376200525
0.9204704006378314,0.9205899940203308,0.8640223240980666,0.9205102650986645,0.9205102650986645
0.7395555555555555,0.8837222222222222,0.8974444444444446,0.7543888888888889,0.8694999999999999
0.8677805280528054,0.84253300330033,0.5646452145214522,0.8582095709570957,0.8435231023102311
0.9058907194500415,0.8703725652878196,0.7740508079491131,0.9121330646754376,0.9053771087669392
0.8778674260401835,0.8758503401360543,0.7883641828824552,0.8841955386805885,0.8832858724885302
0.7799656196280669,0.8474761681512736,0.7113416158774808,0.8783403656821378,0.8675574308485701
0.860646011865524,0.878927708196001,0.6736101955614151,0.762206108547572,0.8929026587563174
0.9569166666666666,0.919,0.8813958333333334,0.878625,0.9294166666666667
0.9249325586221208,0.9196928823407345,0.9020803071176593,0.9219236356090476,0.9219236356090476
