MF_t6_d20,EPI,EPI_med,sib
0.7036606009310199,0.8386584849767246,0.8386584849767246,0.8461701227253491
0.7728925244262668,0.8267439218359465,0.8334469438763917,0.8207225630538514
0.7065428738090609,0.7111608010888586,0.722827143690453,0.7283686564262104
0.6745509607351712,0.7493734335839599,0.7636800334168755,0.7654553049289892
0.7533602150537634,0.768649193548387,0.7701612903225806,0.7733534946236559
0.7717391304347827,0.8160258713618398,0.8090190441969098,0.8146784045993533
0.7300876338851022,0.7814995131450827,0.7814995131450827,0.7814021421616358
0.7266000384393618,0.7962713818950605,0.7962713818950605,0.8006919085143187
0.6922377198302001,0.7857576020098761,0.7858442346010569,0.7797799532184008
0.6799352750809062,0.7472954230235784,0.7472029588534443,0.7516412390198798
0.7142857142857143,0.7031358885017421,0.6935191637630662,0.7190243902439024
0.6563401875901875,0.760551948051948,0.760551948051948,0.7642496392496392
0.7652884615384616,0.8013461538461539,0.8013461538461539,0.8040384615384616
0.7490530303030303,0.8369318181818182,0.8369318181818182,0.8393939393939394
0.781298225308642,0.8188657407407407,0.8188657407407407,0.8238811728395061
0.7016482469512195,0.7845846036585367,0.7845846036585367,0.7885861280487805
0.7742544017247576,0.8137800934243622,0.8137800934243622,0.8251886453467481
0.6732804232804233,0.7621164021164021,0.7542857142857142,0.7548148148148148
0.648023509337378,0.7864252535785382,0.7833917906910607,0.7884159635984453
0.7418420379994888,0.780523131975803,0.7819715429837266,0.7878503876629462
0.7928090314011954,0.7968883407646333,0.7984062233184708,0.8024855326819087
0.700439453125,0.77705078125,0.77705078125,0.7800781250000001
0.7562415978490493,0.8291722681006338,0.8296523910120991,0.8276358747839447
0.7450337160561327,0.7848551120831055,0.7850373610351741,0.7885912156005104
0.7085473220836391,0.8347395451210565,0.8340058694057227,0.833547322083639
0.7302944806912363,0.7984482454593546,0.7984482454593546,0.7932463410333276
0.7389088729016786,0.7662869704236611,0.7661870503597122,0.7703836930455635
0.5534738485558157,0.580015612802498,0.5906323185011709,0.5846994535519127
0.6170798898071626,0.7784205693296602,0.7784205693296602,0.7834710743801653
0.7390786749482402,0.8759834368530021,0.8759834368530021,0.8736024844720497
0.7181231466945753,0.8610675039246467,0.8663003663003663,0.8616780045351473
0.6078767123287672,0.6888597904915392,0.6942989524576955,0.698529411764706
0.6569823280829812,0.7285824049174029,0.7285824049174029,0.7317518248175182
0.6443307905686546,0.8189147018030513,0.8190880721220527,0.8230755894590847
0.6992467043314501,0.7033898305084746,0.7033898305084746,0.7032956685499059
0.767464759535655,0.8714759535655058,0.8714759535655058,0.8709577114427861
0.7970896946564886,0.870706106870229,0.8713740458015268,0.8732824427480915
0.7104081632653061,0.8155102040816327,0.8155102040816327,0.8162244897959184
0.7653875379939209,0.8053761398176291,0.8053761398176291,0.8072758358662614
0.756269371653987,0.7980651826805674,0.7980651826805674,0.7996618765849535
0.8319742273230645,0.8961038961038963,0.8961038961038963,0.896607268700292
0.7201855320667201,0.7836053875657836,0.7832485951297832,0.7806618499687806
0.728807057920982,0.8754315304948216,0.8755274261603375,0.8767740698120444
0.7248876909254269,0.8099730458221024,0.8099730458221024,0.8079964061096137
0.7163065372642372,0.6995055850576818,0.6995971433803332,0.7017029848013184
0.6391494103445075,0.7848453895440616,0.7850311078094532,0.7904169375058038
0.681437908496732,0.765359477124183,0.7691503267973856,0.7712418300653594
0.6731655604719764,0.8106563421828907,0.8106563421828907,0.8122234513274337
0.7388023369036028,0.8656280428432327,0.8656280428432327,0.8679649464459591
0.7381801962533452,0.7951828724353256,0.7941123996431757,0.7949152542372881
0.6993073593073593,0.8123809523809524,0.8096103896103896,0.8164502164502164
0.7032274993440042,0.8030263272981719,0.8087116242456047,0.8107233447039272
0.724757004002287,0.7596340766152087,0.7596340766152087,0.7620354488279015
0.7095757575757575,0.8947878787878789,0.8947878787878789,0.8941818181818182
0.7156977882168722,0.7951653944020356,0.7951653944020356,0.7871403405754551
0.7411222553537544,0.7985904039034968,0.7985904039034968,0.7963314358001264
0.6779988944168048,0.8243965358393219,0.8210797862539155,0.8148148148148149
0.6794172932330828,0.7737781954887218,0.7836466165413534,0.7762218045112782
0.7409649122807018,0.8064035087719299,0.8026315789473684,0.8049122807017544
